id,mass,turnmass,dragmult,cmassx,cmassy,cmassz,persubmerged,tractionmult,tractionloss,tractionbias,numofgears,velocity,acceleration,engineintertia,drivetype,enginetype,deceleration,brakebias,abs,steeringlock,suspensionforce,suspensiondamping,suspensionhighspeedcompdamp,suspensionuplimit,suspensionlowlimit,suspensionbias,suspensionantidive,seatoffset,collisiondamage,value,modelflags,handlingflags,frontlights,rearlights,animgroup
LANDSTAL,1700.0,5008.3,2.5,0.0,0.0,-0.3,85,0.75,0.85,0.5,5,160.0,25.0,20.0,4,D,6.2,0.60,0,35.0,2.4,0.08,0.0,0.28,-0.14,0.5,0.25,0.27,0.23,25000,20,500002,0,1,0
BRAVURA,1300.0,2200.0,1.7,0.0,0.3,0.0,70,0.65,0.80,0.52,5,160.0,15.0,10.0,F,P,08.0,0.80,0,30.0,1.3,0.08,0.0,0.31,-0.15,0.57,0.0,0.26,0.50,9000,1,1,0,0,0
BUFFALO,1500.0,4000.0,2.0,0.0,0.0,-0.1,85,0.7,0.9,0.5,5,200.0,28.0,5.0,R,P,11.0,0.45,0,30.0,1.2,0.12,0.0,0.28,-0.24,0.5,0.4,0.25,0.50,35000,2800,10200000,1,1,0
LINERUN,3800.0,19953.2,5.0,0.0,0.0,-0.2,90,0.95,0.65,0.4,5,120.0,25.0,30.0,R,D,8.0,0.30,0,25.0,1.6,0.06,0.0,0.40,-0.20,0.5,0.0,0.65,0.25,35000,6000,200,0,1,2
PEREN,1200.0,3000.0,2.5,0.0,0.1,0.0,70,0.70,0.90,0.48,5,150.0,18.0,20.0,F,P,4.0,0.80,0,30.0,1.4,0.1,0.0,0.37,-0.17,0.5,0.0,0.2,0.60,10000,20,0,1,1,0
SENTINEL,1600.0,4000.0,2.2,0.0,0.0,-0.2,75,0.65,0.75,0.5,5,165.0,24.0,10.0,R,P,10.0,0.5,0,27.0,1.0,0.08,0.0,0.30,-0.20,0.5,0.3,0.2,0.56,35000,0,400000,0,1,0
DUMPER,20000.0,200000.0,4.0,0.0,0.5,-0.4,90,0.78,0.8,0.55,4,110.0,25.0,30.0,R,D,03.17,0.40,0,30.0,0.8,0.06,0.0,0.20,-0.30,0.55,0.0,0.45,0.20,5000,c008,1340201,0,1,20
FIRETRUK,6500.0,36670.8,3.0,0.0,0.0,0.0,90,0.55,0.8,0.5,5,170.0,27.0,10.0,R,D,10.00,0.45,0,27.0,1.2,0.08,0.0,0.47,-0.17,0.5,0.0,0.2,0.26,15000,4098,0,0,1,2
TRASH,5500.0,33187.9,5.0,0.0,0.0,-0.2,90,0.60,0.9,0.5,4,110.0,20.0,30.0,R,D,3.5,0.40,0,30.0,1.0,0.06,0.0,0.45,-0.25,0.55,0.3,0.45,0.20,5000,4008,200,0,1,0
STRETCH,2200.0,10000.0,1.8,0.0,0.0,0.0,75,0.60,0.8,0.5,5,180.0,18.0,25.0,R,P,10.0,0.40,0,30.0,1.1,0.07,0.0,0.35,-0.20,0.5,0.0,0.2,0.72,40000,282000,10400001,1,1,0
MANANA,1000.0,1400.0,2.8,0.0,0.2,0.0,70,0.80,0.8,0.5,3,160.0,19.0,15.0,F,P,8.0,0.80,0,30.0,1.2,0.10,5.0,0.31,-0.15,0.5,0.2,0.26,0.50,9000,0,0,0,0,0
INFERNUS,1400.0,2725.3,1.5,0.0,0.0,-0.25,70,0.70,0.8,0.50,5,240.0,30.0,10.0,4,P,11.0,0.51,0,30.0,1.2,0.19,0.0,0.25,-0.10,0.5,0.4,0.37,0.72,95000,40002004,C04000,1,1,1
VOODOO,1800.0,4411.5,2.0,0.0,-0.1,-0.2,70,0.95,0.80,0.45,5,160.0,23.0,5.0,R,P,6.50,0.50,0,30.0,1.0,0.08,0.0,0.20,-0.25,0.5,0.6,0.26,0.41,30000,0,2410008,1,1,0
