id,mass,dimx,dimy,dimz,cmassx,cmassy,cmassz,persubmerged,tractionmult,tractionloss,tractionbias,numofgears,velocity,acceleration,drivetype,enginetype,deceleration,brakebias,abs,steeringlock,suspensionforce,suspensiondamping,seatoffset,collisiondamage,value,suspensionuplimit,suspensionlowlimit,suspensionbias,flags,frontlights,rearlights
LANDSTAL,1700.0,2.0,5.0,2.0,0.0,0.0,0.25,85,0.85,0.85,0.51,5,160.0,20.0,4,D,6.2,0.60,0,35.0,2.0,0.1,0.27,0.35,25000,0.25,-0.1,0.5,C00B,0,1
IDAHO,1600.0,1.9,5.0,1.7,0.0,0.0,0.4,75,0.75,0.70,0.52,5,160.0,16.0,R,P,6.2,0.55,0,30.0,1.0,0.1,0.28,0.55,20000,0.35,-0.17,0.5,2,0,1
STINGER,1000.0,1.9,4.7,1.5,0.0,0.0,-0.30,50,1.2,0.85,0.5,5,200.0,30.0,4,P,11.0,0.45,0,30.0,2.6,0.1,0.25,1.0,35000,0.28,-0.14,0.5,A182,1,1
LINERUN,3800.0,2.6,7.5,3.5,0.0,0.0,0.0,90,0.95,0.65,0.4,5,120.0,18.0,R,D,8.0,0.30,0,25.0,1.8,0.04,0.4,0.13,35000,0.40,-0.20,0.5,100,0,1
PEREN,1200.0,1.9,5.0,1.4,0.0,0.0,0.25,70,0.95,0.80,0.53,5,150.0,13.0,F,P,04.17,0.80,0,30.0,1.4,0.1,0.2,1.0,10000,0.37,-0.17,0.5,A,1,1
SENTINEL,1400.0,2.0,4.9,1.6,0.0,0.2,-0.20,75,0.91,0.80,0.55,5,165.0,24.0,R,P,10.17,0.55,0,30.0,1.3,0.13,0.2,0.8,35000,0.27,-0.15,0.5,8002,0,1
PATRIOT,2500.0,2.4,5.7,2.2,0.0,0.0,-0.15,80,0.92,0.78,0.5,5,170.0,19.0,4,P,08.17,0.50,0,30.0,1.5,0.1,0.28,0.2,40000,0.35,-0.35,0.5,4103,0,1
FIRETRUK,6500.0,2.9,7.7,3.8,0.0,0.0,0.0,90,0.65,0.7,0.5,5,170.0,22.0,R,D,10.00,0.45,0,27.0,1.2,0.08,0.2,0.08,15000,0.47,-0.17,0.5,4404,0,1
TRASH,5500.0,2.9,8.0,3.6,0.0,0.0,0.0,90,0.58,0.8,0.5,4,110.0,07.0,R,D,03.17,0.40,0,30.0,1.4,0.06,0.3,0.1,5000,0.45,-0.25,0.55,4003,0,1
STRETCH,2200.0,2.0,7.3,1.3,0.0,0.0,0.0,75,0.67,0.8,0.5,5,180.0,10.0,F,P,10.0,0.40,0,30.0,1.2,0.07,0.2,0.65,40000,0.35,-0.15,0.5,8002,1,1
